Candidate,Gender,Race,State,DistrictNo,District,Party,ICO,PrimaryResults,PrimaryStatus,RunoffResults,RunoffStatus,GeneralResults,RankedChoiceResults,GeneralStatus,PVI,Clinton2016,Trump2016,WFD,MoneyRaised,MoneySpent,ElectedOffice
Sean Casten,Male,White,IL,6,IL-6,Democrat,Challenger,29.5,1,,,53.6,,1,-2,50.2,43.2,0.198677476,6225463,6076582,No
Jennifer Zordani,Female,White,IL,6,IL-6,Democrat,Challenger,4.1,0,,,,,,-2,50.2,43.2,0.198677476,97042,97042,No
Kelly Mazeski,Female,White,IL,6,IL-6,Democrat,Challenger,26.8,0,,,,,,-2,50.2,43.2,0.198677476,885594,884830,No
Ryan Huffman,Male,White,IL,6,IL-6,Democrat,Challenger,3.5,0,,,,,,-2,50.2,43.2,0.198677476,8632,8617,No
Peter J. Roskam,Male,White,IL,6,IL-6,Republican,Incumbent,100,1,,,46.4,,0,-2,50.2,43.2,0.198677476,6963446,7045372,Yes
Anthony V. Clark,Male,Non-white,IL,7,IL-7,Democrat,Challenger,26.1,0,,,,,,38,87.4,9.2,0.387298017,91181,91181,No
Danny K. Davis,Male,Non-white,IL,7,IL-7,Democrat,Incumbent,73.9,1,,,87.6,,1,38,87.4,9.2,0.387298017,430014,547265,Yes
Craig Cameron,Male,White,IL,7,IL-7,Republican,Challenger,56.3,1,,,12.4,,0,38,87.4,9.2,0.387298017,2500,2500,No
Jeffrey A. Leef,Male,White,IL,7,IL-7,Republican,Challenger,43.7,0,,,,,,38,87.4,9.2,0.387298017,2500,2500,No
Raja Krishnamoorthi,Male,Non-white,IL,8,IL-8,Democrat,Incumbent,100,1,,,66,,1,8,58.1,36.4,0.252329907,5227833,1842233,Yes
"Jitendra ""JD"" Diganvker",Male,Non-white,IL,8,IL-8,Republican,Challenger,100,1,,,34,,0,8,58.1,36.4,0.252329907,51625,51190,No
Janice D. Schakowsky,Female,White,IL,9,IL-9,Democrat,Incumbent,100,1,,,73.5,,1,18,70.1,24.9,0.332806657,1528750,1411776,Yes
Vincent Thomas Jr.,Male,Non-white,IL,9,IL-9,Republican,Challenger,18.8,0,,,,,,18,70.1,24.9,0.332806657,2500,2500,No
John D. Elleson,Male,White,IL,9,IL-9,Republican,Challenger,40.4,1,,,26.5,,0,18,70.1,24.9,0.332806657,74071,74071,No
Maxwell Rice,Male,White,IL,9,IL-9,Republican,Challenger,10.2,0,,,,,,18,70.1,24.9,0.332806657,2500,2500,No
Sargis Sangari,Male,White,IL,9,IL-9,Republican,Challenger,30.7,0,,,,,,18,70.1,24.9,0.332806657,66869,70446,No
Brad Schneider,Male,White,IL,10,IL-10,Democrat,Incumbent,100,1,,,65.6,,1,10,62,32.6,0.240925602,4330730,3151863,Yes
Sapan Shah,Male,Non-white,IL,10,IL-10,Republican,Challenger,29.1,0,,,,,,10,62,32.6,0.240925602,672650,672650,No
Aloys Rutagwibira,Male,Non-white,IL,10,IL-10,Republican,Challenger,0,0,,,,,,10,62,32.6,0.240925602,2500,2500,No
Douglas R. Bennett,Male,White,IL,10,IL-10,Republican,Challenger,36.2,1,,,34.4,,0,10,62,32.6,0.240925602,285391,277939,No
Jeremy Wynes,Male,White,IL,10,IL-10,Republican,Challenger,34.7,0,,,,,,10,62,32.6,0.240925602,361890,361768,No
Bill Foster,Male,White,IL,11,IL-11,Democrat,Incumbent,100,1,,,63.8,,1,9,58.9,35.4,0.215930438,2574523,1528112,Yes
"Constant G. ""Connor"" Vlakancic",Male,White,IL,11,IL-11,Republican,Challenger,20.7,0,,,,,,9,58.9,35.4,0.215930438,2500,2500,No
Nick Stella,Male,White,IL,11,IL-11,Republican,Challenger,79.3,1,,,36.2,,0,9,58.9,35.4,0.215930438,273619,271262,No
Brendan Kelly,Male,White,IL,12,IL-12,Democrat,Challenger,81,1,,,45.4,,0,-5,40.2,55,0.125320351,3889239,3863044,No
David Bequette,Male,White,IL,12,IL-12,Democrat,Challenger,19,0,,,,,,-5,40.2,55,0.125320351,14434,14434,No
Mike Bost,Male,White,IL,12,IL-12,Republican,Incumbent,83.5,1,,,51.6,,1,-5,40.2,55,0.125320351,2855279,2828992,Yes
Preston Nelson,Male,White,IL,12,IL-12,Republican,Challenger,16.5,0,,,,,,-5,40.2,55,0.125320351,2500,2500,No
Angel Sides,Female,White,IL,13,IL-13,Democrat,Challenger,4.2,0,,,,,,-3,44.2,49.7,0.14752597,2500,2500,No
Betsy Dirksen Londrigan,Female,White,IL,13,IL-13,Democrat,Challenger,45.7,1,,,49.6,,0,-3,44.2,49.7,0.14752597,4221116,4211004,No
David M. Gill,Male,White,IL,13,IL-13,Democrat,Challenger,14.4,0,,,,,,-3,44.2,49.7,0.14752597,90900,91127,No
Erik Jones,Male,White,IL,13,IL-13,Democrat,Challenger,22.4,0,,,,,,-3,44.2,49.7,0.14752597,489926,489926,No
Jon Ebel,Male,White,IL,13,IL-13,Democrat,Challenger,13.3,0,,,,,,-3,44.2,49.7,0.14752597,263299,263639,No
Rodney Davis,Male,White,IL,13,IL-13,Republican,Incumbent,100,1,,,50.4,,1,-3,44.2,49.7,0.14752597,3602748,3906356,Yes
Lauren Underwood,Female,Non-white,IL,14,IL-14,Democrat,Challenger,57.3,1,,,52.5,,1,-5,44.8,48.7,0.1335183,4748215,4608864,No
Daniel Roldan-Johnson,Male,White,IL,14,IL-14,Democrat,Challenger,2.3,0,,,,,,-5,44.8,48.7,0.1335183,2500,2500,No
George Weber,Male,White,IL,14,IL-14,Democrat,Challenger,5,0,,,,,,-5,44.8,48.7,0.1335183,11919,11919,No
Jim Walz,Male,White,IL,14,IL-14,Democrat,Challenger,10,0,,,,,,-5,44.8,48.7,0.1335183,15711,16905,No
John J. Hosta,Male,White,IL,14,IL-14,Democrat,Challenger,5,0,,,,,,-5,44.8,48.7,0.1335183,2500,2500,No
Matthew Brolley,Male,White,IL,14,IL-14,Democrat,Challenger,13.4,0,,,,,,-5,44.8,48.7,0.1335183,166004,164922,Yes
Victor Swanson,Male,White,IL,14,IL-14,Democrat,Challenger,7,0,,,,,,-5,44.8,48.7,0.1335183,80295,80295,No
"Randall M. ""Randy"" Hultgren",Male,White,IL,14,IL-14,Republican,Incumbent,100,1,,,47.5,,0,-5,44.8,48.7,0.1335183,2219055,2380785,Yes
Carl Spoerer,Male,White,IL,15,IL-15,Democrat,Challenger,37.9,0,,,,,,-21,24.5,70.7,0.06908293,22626,22418,No
Kevin Gaither,Male,White,IL,15,IL-15,Democrat,Challenger,62.1,1,,,29.1,,0,-21,24.5,70.7,0.06908293,51722,49477,No
John M. Shimkus,Male,White,IL,15,IL-15,Republican,Incumbent,100,1,,,70.9,,1,-21,24.5,70.7,0.06908293,1966871,1771221,Yes
Neill Mohammad,Male,Non-white,IL,16,IL-16,Democrat,Challenger,27.2,0,,,,,,-8,38.3,55.5,0.099424942,210342,210342,No
"Amy ""Murri"" Briel",Female,White,IL,16,IL-16,Democrat,Challenger,19.5,0,,,,,,-8,38.3,55.5,0.099424942,17571,22776,No
Beth Vercolio-Osmund,Female,White,IL,16,IL-16,Democrat,Challenger,13,0,,,,,,-8,38.3,55.5,0.099424942,13098,98,No
Sara Dady,Female,White,IL,16,IL-16,Democrat,Challenger,40.3,1,,,40.9,,0,-8,38.3,55.5,0.099424942,358540,380048,No
Adam Kinzinger,Male,White,IL,16,IL-16,Republican,Incumbent,67.9,1,,,59.1,,1,-8,38.3,55.5,0.099424942,1772985,2170975,Yes
"James T. ""Jim"" Marter",Male,White,IL,16,IL-16,Republican,Challenger,32.1,0,,,,,,-8,38.3,55.5,0.099424942,63499,62768,No
Cheri Bustos,Female,White,IL,17,IL-17,Democrat,Incumbent,100,1,,,62.1,,1,2,46.7,47.4,0.118173574,3898555,3023416,Yes
"William W. ""Bill"" Fawell",Male,White,IL,17,IL-17,Republican,Challenger,100,1,,,37.9,,0,2,46.7,47.4,0.118173574,27167,23996,No
Brian J. Deters,Male,White,IL,18,IL-18,Democrat,Challenger,39.5,0,,,,,,-15,33.3,60.6,0.100409807,20483,19670,No
Darrel Miller,Male,White,IL,18,IL-18,Democrat,Challenger,18.8,0,,,,,,-15,33.3,60.6,0.100409807,2500,2500,No
Junius Rodriguez,Male,White,IL,18,IL-18,Democrat,Challenger,41.7,1,,,32.8,,0,-15,33.3,60.6,0.100409807,78311,73423,No
Donald Ray Rients,Male,White,IL,18,IL-18,Republican,Challenger,21.1,0,,,,,,-15,33.3,60.6,0.100409807,2500,2500,No
Darin Lahood,Male,White,IL,18,IL-18,Republican,Incumbent,78.9,1,,,67.2,,1,-15,33.3,60.6,0.100409807,2481667,1153216,Yes
"Antonio (Tony) Daggett, Sr.",Male,Non-white,IN,1,IN-1,Democrat,Challenger,11.1,0,,,,,,8,54.1,41.5,0.158894378,2500,2500,No
Peter J. Visclosky,Male,White,IN,1,IN-1,Democrat,Incumbent,80.5,1,,,65.1,,1,8,54.1,41.5,0.158894378,1102233,1007130,Yes
Larry Chubb,Male,White,IN,1,IN-1,Democrat,Challenger,8.4,0,,,,,,8,54.1,41.5,0.158894378,2500,2500,No
Mark Leyva,Male,Non-white,IN,1,IN-1,Republican,Challenger,27,1,,,34.9,,0,8,54.1,41.5,0.158894378,2500,2500,No
John Meyer,Male,White,IN,1,IN-1,Republican,Challenger,19.6,0,,,,,,8,54.1,41.5,0.158894378,2500,2500,No
Nicholas Pappas,Male,White,IN,1,IN-1,Republican,Challenger,19.5,0,,,,,,8,54.1,41.5,0.158894378,2500,2500,No
Roseann P. Ivanovich,Female,White,IN,1,IN-1,Republican,Challenger,19.6,0,,,,,,8,54.1,41.5,0.158894378,9910,15391,No
David Dopp,Male,,IN,1,IN-1,Republican,Challenger,7.6,0,,,,,,8,54.1,41.5,0.158894378,2500,2500,No
Jeremy D. Belko,Male,,IN,1,IN-1,Republican,Challenger,6.7,0,,,,,,8,54.1,41.5,0.158894378,2500,2500,No
Joshi Yatish,Male,Non-white,IN,2,IN-2,Democrat,Challenger,22.1,0,,,,,,-11,36.1,59.3,0.087663004,587183,586923,No
Douglas Carpenter,Male,White,IN,2,IN-2,Democrat,Challenger,5.3,0,,,,,,-11,36.1,59.3,0.087663004,2500,2500,No
John H. Petroff,Male,White,IN,2,IN-2,Democrat,Challenger,1.5,0,,,,,,-11,36.1,59.3,0.087663004,2500,2500,No
Mel Hall,Male,White,IN,2,IN-2,Democrat,Challenger,41.7,1,,,45.2,,0,-11,36.1,59.3,0.087663004,4103357,4044863,No
Pat Hackett,Female,White,IN,2,IN-2,Democrat,Challenger,28.2,0,,,,,,-11,36.1,59.3,0.087663004,105820,105479,No
Roland E. Leech,Male,White,IN,2,IN-2,Democrat,Challenger,1.2,0,,,,,,-11,36.1,59.3,0.087663004,2500,2500,No
Jackie Walorski,Female,White,IN,2,IN-2,Republican,Incumbent,78.6,1,,,54.8,,1,-11,36.1,59.3,0.087663004,2876499,2751502,Yes
Mark Summe,Male,White,IN,2,IN-2,Republican,Challenger,21.4,0,,,,,,-11,36.1,59.3,0.087663004,2500,2500,No
John F. Roberson,Male,Non-white,IN,3,IN-3,Democrat,Challenger,10.2,0,,,,,,-18,30.1,65.1,0.081448492,2500,2500,No
Courtney Tritch,Female,White,IN,3,IN-3,Democrat,Challenger,79.1,1,,,35.3,,0,-18,30.1,65.1,0.081448492,857369,844283,No
Tommy A. Schrader,Male,White,IN,3,IN-3,Democrat,Challenger,10.7,0,,,,,,-18,30.1,65.1,0.081448492,2500,2500,No
Jim Banks,Male,White,IN,3,IN-3,Republican,Incumbent,100,1,,,64.7,,1,-18,30.1,65.1,0.081448492,977335,1087820,Yes
Darin Patrick Griesey,Male,White,IN,4,IN-4,Democrat,Open,6.7,0,,,,,,-17,30.2,64.3,0.086831494,2500,2500,No
Joseph W. Mackey,Male,White,IN,4,IN-4,Democrat,Open,16.1,0,,,,,,-17,30.2,64.3,0.086831494,9824,9459,No
Roger D. Day,Male,White,IN,4,IN-4,Democrat,Open,12.4,0,,,,,,-17,30.2,64.3,0.086831494,2500,2500,No
Roland Ellis,Male,White,IN,4,IN-4,Democrat,Open,9.2,0,,,,,,-17,30.2,64.3,0.086831494,2500,2500,No
Tobi Beck,Female,White,IN,4,IN-4,Democrat,Open,34.6,1,,,35.9,,0,-17,30.2,64.3,0.086831494,117458,110728,No
Veronikka M Ziol,Female,White,IN,4,IN-4,Democrat,Open,21.1,0,,,,,,-17,30.2,64.3,0.086831494,2500,2500,No
Diego Morales,Male,Non-white,IN,4,IN-4,Republican,Open,15,0,,,,,,-17,30.2,64.3,0.086831494,473737,473737,No
Jim Baird,Male,White,IN,4,IN-4,Republican,Open,36.6,1,,,64.1,,1,-17,30.2,64.3,0.086831494,527645,407129,Yes
James Nease,Male,White,IN,4,IN-4,Republican,Open,2.6,0,,,,,,-17,30.2,64.3,0.086831494,2500,2500,No
Jared Guy Thomas,Male,White,IN,4,IN-4,Republican,Open,10.5,0,,,,,,-17,30.2,64.3,0.086831494,45541,45541,No
Kevin J. Grant,Male,White,IN,4,IN-4,Republican,Open,4.6,0,,,,,,-17,30.2,64.3,0.086831494,2500,2500,No
Steve Braun,Male,White,IN,4,IN-4,Republican,Open,29.5,0,,,,,,-17,30.2,64.3,0.086831494,1229893,1229893,Yes
Tim Radice,Male,,IN,4,IN-4,Republican,Open,1.3,0,,,,,,-17,30.2,64.3,0.086831494,2500,2500,No
Dee Thornton,Female,Non-white,IN,5,IN-5,Democrat,Challenger,53,1,,,43.2,,0,-9,41.3,53.1,0.141946335,207901,167925,No
Kyle Moore,Male,Non-white,IN,5,IN-5,Democrat,Challenger,23.7,0,,,,,,-9,41.3,53.1,0.141946335,6244,4638,No
Dion Douglas,Male,White,IN,5,IN-5,Democrat,Challenger,10.3,0,,,,,,-9,41.3,53.1,0.141946335,2500,2500,No
Eshel Faraggi,Male,White,IN,5,IN-5,Democrat,Challenger,7.6,0,,,,,,-9,41.3,53.1,0.141946335,2500,2500,No
Sean Dugdale,Male,White,IN,5,IN-5,Democrat,Challenger,5.5,0,,,,,,-9,41.3,53.1,0.141946335,2500,2500,No
Susan W. Brooks,Female,White,IN,5,IN-5,Republican,Incumbent,100,1,,,56.8,,1,-9,41.3,53.1,0.141946335,1423876,1846901,Yes
Jeannine Lee Lake,Female,Non-white,IN,6,IN-6,Democrat,Open,38.3,1,,,32.9,,0,-18,27.4,67.7,0.070459603,70409,57091,No
George T. Holland,Male,White,IN,6,IN-6,Democrat,Open,11.1,0,,,,,,-18,27.4,67.7,0.070459603,2500,2500,No
Jim Pruett,Male,White,IN,6,IN-6,Democrat,Open,25.8,0,,,,,,-18,27.4,67.7,0.070459603,2500,2500,No
Joshua Williamson,Male,White,IN,6,IN-6,Democrat,Open,7.3,0,,,,,,-18,27.4,67.7,0.070459603,2500,2500,No
K. (Jasen) Lave,Male,White,IN,6,IN-6,Democrat,Open,1.9,0,,,,,,-18,27.4,67.7,0.070459603,5423,5429,No
Lane Siekman,Male,White,IN,6,IN-6,Democrat,Open,15.6,0,,,,,,-18,27.4,67.7,0.070459603,2500,2500,No
Greg Pence,Male,White,IN,6,IN-6,Republican,Open,64.5,1,,,63.8,,1,-18,27.4,67.7,0.070459603,2725193,2475889,No
Jeff Smith,Male,White,IN,6,IN-6,Republican,Open,3,0,,,,,,-18,27.4,67.7,0.070459603,2500,2500,No
Jonathan M. Lamb,Male,White,IN,6,IN-6,Republican,Open,23.6,0,,,,,,-18,27.4,67.7,0.070459603,516981,516565,No
Mike Campbell,Male,White,IN,6,IN-6,Republican,Open,4.3,0,,,,,,-18,27.4,67.7,0.070459603,2500,2500,No
Stephen M. MacKenzie,Male,White,IN,6,IN-6,Republican,Open,4.6,0,,,,,,-18,27.4,67.7,0.070459603,14861,14425,No
Curtis D. Godfrey,Male,Non-white,IN,7,IN-7,Democrat,Challenger,1.7,0,,,,,,11,59,36.2,0.216008542,2500,2500,No
Andre D. Carson,Male,Non-white,IN,7,IN-7,Democrat,Incumbent,88,1,,,64.9,,1,11,59,36.2,0.216008542,990683,919026,Yes
Pierre Quincy Pullins,Male,Non-white,IN,7,IN-7,Democrat,Challenger,0.5,0,,,,,,11,59,36.2,0.216008542,2500,2500,No
Bob Kern,Male,White,IN,7,IN-7,Democrat,Challenger,1.6,0,,,,,,11,59,36.2,0.216008542,2500,2500,No
Sue Spicer,Female,White,IN,7,IN-7,Democrat,Challenger,8.2,0,,,,,,11,59,36.2,0.216008542,2500,2500,No
"Donald Eason, Jr.",Male,Non-white,IN,7,IN-7,Republican,Challenger,19.2,0,,,,,,11,59,36.2,0.216008542,2500,2500,No
J. Jason Davis,Male,White,IN,7,IN-7,Republican,Challenger,11.9,0,,,,,,11,59,36.2,0.216008542,2500,2500,No
John L Couch,Male,White,IN,7,IN-7,Republican,Challenger,15.2,0,,,,,,11,59,36.2,0.216008542,2500,2500,No
"Wayne ""Gunny"" Harmon",Male,White,IN,7,IN-7,Republican,Challenger,28.8,1,,,35.1,,0,11,59,36.2,0.216008542,2500,2500,No
J D Miniear,Male,,IN,7,IN-7,Republican,Challenger,13.6,0,,,,,,11,59,36.2,0.216008542,2500,2500,No
"Tony ""Big Dog"" Van Pelt",Male,,IN,7,IN-7,Republican,Challenger,11.3,0,,,,,,11,59,36.2,0.216008542,7145,7145,No
William Tanoos,Male,White,IN,8,IN-8,Democrat,Challenger,100,1,,,35.6,,0,-15,30.9,64.6,0.077544013,229397,229397,No
Larry D. Bucshon,Male,White,IN,8,IN-8,Republican,Incumbent,63,1,,,64.4,,1,-15,30.9,64.6,0.077544013,965433,1024191,Yes
Rachel Covington,Female,White,IN,8,IN-8,Republican,Challenger,11.8,0,,,,,,-15,30.9,64.6,0.077544013,2500,2500,No
Richard Moss,Male,White,IN,8,IN-8,Republican,Challenger,25.2,0,,,,,,-15,30.9,64.6,0.077544013,87291,88471,No
Dan Canon,Male,White,IN,9,IN-9,Democrat,Challenger,30.7,0,,,,,,-13,34.2,61.1,0.096515968,410417,404502,No
Liz Watson,Female,White,IN,9,IN-9,Democrat,Challenger,66.4,1,,,43.5,,0,-13,34.2,61.1,0.096515968,2485545,2474838,No
Rob Chatlos,Male,White,IN,9,IN-9,Democrat,Challenger,2.9,0,,,,,,-13,34.2,61.1,0.096515968,2500,2500,No
Trey Hollingsworth,Male,White,IN,9,IN-9,Republican,Incumbent,77.7,1,,,56.5,,1,-13,34.2,61.1,0.096515968,1469589,1402620,Yes
James Dean Alspach,Male,White,IN,9,IN-9,Republican,Challenger,22.3,0,,,,,,-13,34.2,61.1,0.096515968,2500,2500,No
Alan LaPolice,Male,White,KS,1,KS-1,Democrat,Challenger,100,1,,,31.85,,0,-24,24.3,69.3,0.083692764,206646,205610,No
Roger Marshall,Male,White,KS,1,KS-1,Republican,Incumbent,78.66,1,,,68.15,,1,-24,24.3,69.3,0.083692764,1214998,553198,Yes
Nick Reinecker,Male,White,KS,1,KS-1,Republican,Challenger,21.34,0,,,,,,-24,24.3,69.3,0.083692764,2500,2500,No
Paul Davis,Male,White,KS,2,KS-2,Democrat,Challenger,100,1,,,46.79,,0,-10,37.4,55.8,0.102069751,3958227,3913684,Yes
Vernon J. Fields,Male,Non-white,KS,2,KS-2,Republican,Open,2.63,0,,,,,,-10,37.4,55.8,0.102069751,29167,19231,No
Caryn Tyson,Female,White,KS,2,KS-2,Republican,Open,23.49,0,,,,,,-10,37.4,55.8,0.102069751,465301,160542,Yes
Dennis Pyle,Male,White,KS,2,KS-2,Republican,Open,12.08,0,,,,,,-10,37.4,55.8,0.102069751,133676,133676,Yes
Doug Mays,Male,White,KS,2,KS-2,Republican,Open,8.23,0,,,,,,-10,37.4,55.8,0.102069751,148756,148756,No
Kevin Jones,Male,White,KS,2,KS-2,Republican,Open,14.82,0,,,,,,-10,37.4,55.8,0.102069751,131730,123766,Yes
Steve Fitzgerald,Male,White,KS,2,KS-2,Republican,Open,12.21,0,,,,,,-10,37.4,55.8,0.102069751,278981,255956,Yes
Steve Watkins,Male,White,KS,2,KS-2,Republican,Open,26.54,1,,,47.64,,1,-10,37.4,55.8,0.102069751,1178611,1173986,No
Sharice Davids,Female,Non-white,KS,3,KS-3,Democrat,Challenger,37.34,1,,,53.57,,1,-4,47.2,46,0.184823716,4745093,4735380,No
Brent Welder,Male,White,KS,3,KS-3,Democrat,Challenger,33.85,0,,,,,,-4,47.2,46,0.184823716,872421,840889,No
Jay Sidie,Male,White,KS,3,KS-3,Democrat,Challenger,2.86,0,,,,,,-4,47.2,46,0.184823716,,,No
Mike McCamon,Male,White,KS,3,KS-3,Democrat,Challenger,6.95,0,,,,,,-4,47.2,46,0.184823716,50148,49437,No
Sylvia D. Williams,Female,White,KS,3,KS-3,Democrat,Challenger,4.72,0,,,,,,-4,47.2,46,0.184823716,299726,299726,No
Tom Niermann,Male,White,KS,3,KS-3,Democrat,Challenger,14.28,0,,,,,,-4,47.2,46,0.184823716,722990,722736,No
Kevin Yoder,Male,White,KS,3,KS-3,Republican,Incumbent,68.14,1,,,43.91,,0,-4,47.2,46,0.184823716,4575312,4775977,Yes
Trevor Keegan,Male,White,KS,3,KS-3,Republican,Challenger,18.69,0,,,,,,-4,47.2,46,0.184823716,14766,17660,No
Joe Myers,Male,,KS,3,KS-3,Republican,Challenger,13.17,0,,,,,,-4,47.2,46,0.184823716,2500,2500,No
James A. Thompson,Male,White,KS,4,KS-4,Democrat,Challenger,65.24,1,,,40.56,,0,-15,33,60.2,0.10291977,1466167,1461182,No
Laura Lombard,Female,White,KS,4,KS-4,Democrat,Challenger,34.76,0,,,,,,-15,33,60.2,0.10291977,105049,104220,No
Ron Estes,Male,White,KS,4,KS-4,Republican,Incumbent,81.38,1,,,59.44,,1,-15,33,60.2,0.10291977,1818003,1524161,Yes
Ron M. Estes,Male,White,KS,4,KS-4,Republican,Challenger,18.62,0,,,,,,-15,33,60.2,0.10291977,2500,2500,No
Alonzo Pennington,Male,White,KY,1,KY-1,Democrat,Challenger,25.4,0,,,,,,-23,23.9,72.4,0.061642181,2500,2500,No
Paul Walker,Male,White,KY,1,KY-1,Democrat,Challenger,74.6,1,,,31.41,,0,-23,23.9,72.4,0.061642181,51454,50083,No
James Comer,Male,White,KY,1,KY-1,Republican,Incumbent,100,1,,,68.59,,1,-23,23.9,72.4,0.061642181,713146,627762,Yes
Brian Pedigo,Male,White,KY,2,KY-2,Democrat,Challenger,28.68,0,,,,,,-19,27.6,67.5,0.073754684,2500,2500,No
Grant Short,Male,White,KY,2,KY-2,Democrat,Challenger,19.59,0,,,,,,-19,27.6,67.5,0.073754684,2500,2500,No
Hank Linderman,Male,White,KY,2,KY-2,Democrat,Challenger,30.32,1,,,31.07,,0,-19,27.6,67.5,0.073754684,173296,162350,No
Rane Eir Olivia Sessions,Female,White,KY,2,KY-2,Democrat,Challenger,21.72,0,,,,,,-19,27.6,67.5,0.073754684,4853,5398,No
Brett Guthrie,Male,White,KY,2,KY-2,Republican,Incumbent,100,1,,,66.72,,1,-19,27.6,67.5,0.073754684,1965308,1666509,Yes
John Yarmuth,Male,White,KY,3,KY-3,Democrat,Incumbent,100,1,,,62.07,,1,6,54.9,39.9,0.209650787,950857,1133574,Yes
Mike Craven,Male,White,KY,3,KY-3,Republican,Challenger,26.9,0,,,,,,6,54.9,39.9,0.209650787,2500,2500,No
Rhonda R. Palazzo,Female,White,KY,3,KY-3,Republican,Challenger,24.05,0,,,,,,6,54.9,39.9,0.209650787,2500,2500,No
Vickie Yates B. Glisson,Female,White,KY,3,KY-3,Republican,Challenger,49.05,1,,,36.57,,0,6,54.9,39.9,0.209650787,747846,709612,No
Christina Lord,Female,White,KY,4,KY-4,Democrat,Challenger,21.71,0,,,,,,-18,29.3,65.2,0.094612811,2500,2500,No
Patti Piatt,Female,White,KY,4,KY-4,Democrat,Challenger,37.53,0,,,,,,-18,29.3,65.2,0.094612811,36119,36119,No
Seth Hall,Male,White,KY,4,KY-4,Democrat,Challenger,40.77,1,,,34.58,,0,-18,29.3,65.2,0.094612811,76212,38261,No
Thomas Massie,Male,White,KY,4,KY-4,Republican,Incumbent,100,1,,,62.24,,1,-18,29.3,65.2,0.094612811,367933,362201,Yes
Kenneth S. Strepp,Male,White,KY,5,KY-5,Democrat,Challenger,58.69,1,,,21.05,,0,-31,17.5,79.6,0.051275261,2500,2500,No
Scott Sykes,Male,White,KY,5,KY-5,Democrat,Challenger,41.31,0,,,,,,-31,17.5,79.6,0.051275261,2500,2500,Yes
Gerardo Serrano,Male,Non-white,KY,5,KY-5,Republican,Challenger,15.83,0,,,,,,-31,17.5,79.6,0.051275261,24938,4244,No
"Harold ""Hal"" Rogers",Male,White,KY,5,KY-5,Republican,Incumbent,84.2,1,,,78.95,,1,-31,17.5,79.6,0.051275261,865442,918542,Yes
Reggie Thomas,Male,Non-white,KY,6,KY-6,Democrat,Challenger,7.2,0,,,,,,-9,39.4,54.7,0.125029784,351512,351512,Yes
Amy McGrath,Female,White,KY,6,KY-6,Democrat,Challenger,48.66,1,,,47.78,,0,-9,39.4,54.7,0.125029784,8542752,8063116,No
Daniel Kemph,Male,White,KY,6,KY-6,Democrat,Challenger,1.23,0,,,,,,-9,39.4,54.7,0.125029784,2500,2500,No
"Geoffery M. ""Geof"" Young",Male,White,KY,6,KY-6,Democrat,Challenger,1.57,0,,,,,,-9,39.4,54.7,0.125029784,8878,10167,No
Jim Gray,Male,White,KY,6,KY-6,Democrat,Challenger,40.51,0,,,,,,-9,39.4,54.7,0.125029784,1470171,1469887,Yes
Theodore David Green,Male,White,KY,6,KY-6,Democrat,Challenger,0.83,0,,,,,,-9,39.4,54.7,0.125029784,2500,2500,No
Chuck Eddy,Male,White,KY,6,KY-6,Republican,Challenger,16.24,0,,,,,,-9,39.4,54.7,0.125029784,2500,2500,No
Andy Barr,Male,White,KY,6,KY-6,Republican,Incumbent,83.76,1,,,51,,1,-9,39.4,54.7,0.125029784,5250042,5473278,Yes
"""Jim"" Francis",Male,White,LA,1,LA-1,Democrat,Challenger,3,0,,,,,,-24,26.7,68.7,0.101380235,71803,63349,No
Lee Ann Dugas,Female,White,LA,1,LA-1,Democrat,Challenger,7,0,,,,,,-24,26.7,68.7,0.101380235,2500,2500,No
Tammy M. Savoie,Female,White,LA,1,LA-1,Democrat,Challenger,16,0,,,,,,-24,26.7,68.7,0.101380235,273415,251033,No
Steve Scalise,Male,White,LA,1,LA-1,Republican,Incumbent,71,,,,,,1,-24,26.7,68.7,0.101380235,13022061,11290089,Yes
Howard KearnEy,Male,White,LA,1,LA-1,Third Party,Challenger,1,0,,,,,,-24,26.7,68.7,0.101380235,12330,12330,No
Cedric Richmond,Male,Non-white,LA,2,LA-2,Democrat,Incumbent,81,,,,,,1,25,74.6,22.2,0.188205365,1536288,1364675,Yes
Shawndra Rodriguez,Female,Non-white,LA,2,LA-2,Third Party,Challenger,3,0,,,,,,25,74.6,22.2,0.188205365,2500,2500,No
Jesse Schmidt,Male,White,LA,2,LA-2,Third Party,Challenger,9,0,,,,,,25,74.6,22.2,0.188205365,20546,8480,No
Verone Thomas,Male,Non-white,LA,3,LA-3,Democrat,Challenger,3,0,,,,,,-20,29.2,67.3,0.076919673,2500,2500,No
"""Rob"" Anderson",Male,White,LA,3,LA-3,Democrat,Challenger,5,0,,,,,,-20,29.2,67.3,0.076919673,16596,15446,No
"Mildred ""Mimi"" Methvin",Female,White,LA,3,LA-3,Democrat,Challenger,18,0,,,,,,-20,29.2,67.3,0.076919673,267911,254585,No
Larry Rader,Male,,LA,3,LA-3,Democrat,Challenger,4,0,,,,,,-20,29.2,67.3,0.076919673,,,No
"""Josh"" Guillory",Male,White,LA,3,LA-3,Republican,Challenger,13,0,,,,,,-20,29.2,67.3,0.076919673,278364,252521,No
